hcpcs,description,minutes_per_unit,unit_basis,group_divisor,family,fraud_vector,mn_rate_per_unit,mn_daily_cap_hours,source,notes,personal_service
97151,Behavior identification assessment by physician/QHP,15,per_15min,1,aba,MED,,8,CPT; MN cap 8h/day,,Y
97152,Behavior identification supporting assessment by technician,15,per_15min,1,aba,LOW,,,CPT,,N
97153,Adaptive behavior treatment by protocol by technician,15,per_15min,1,aba,HIGH,,8,CPT; MN cap 8h/day,MN EIDBI core code,N
97154,Group adaptive behavior treatment by protocol,15,per_15min,4,aba,HIGH,,4.5,CPT; MN cap 4.5h/day,group; assume 4 patients,N
97155,Adaptive behavior treatment with protocol modification by QHP,15,per_15min,1,aba,HIGH,,6,CPT; MN cap 6h/day,MN EIDBI core code,Y
97156,Family adaptive behavior treatment guidance,15,per_15min,1,aba,MED,,4,CPT; MN cap 4h/day,,Y
97157,Multiple-family group adaptive behavior treatment guidance,15,per_15min,4,aba,MED,,,CPT,group; assume 4 families,Y
97158,Group adaptive behavior treatment with protocol modification,15,per_15min,4,aba,MED,,,CPT,group; assume 4 patients,N
0362T,Behavior identification supporting assessment (2 or more technicians),15,per_15min,1,aba,MED,,,CPT,MN EIDBI,N
0373T,Adaptive behavior treatment with protocol modification (2 or more technicians),15,per_15min,1,aba,HIGH,,8,CPT; MN cap 8h/day,MN EIDBI,N
0364T,Adaptive behavior treatment by protocol first 30 min (pre-2019),30,per_30min,1,aba,MED,,,CPT,retired 2019,N
0365T,Adaptive behavior treatment by protocol each addl 30 min (pre-2019),30,per_30min,1,aba,MED,,,CPT,retired 2019,N
0366T,Group adaptive behavior treatment by protocol first 30 min (pre-2019),30,per_30min,4,aba,MED,,,CPT,retired 2019; group,N
0367T,Group adaptive behavior treatment by protocol each addl 30 min (pre-2019),30,per_30min,4,aba,MED,,,CPT,retired 2019; group,N
0368T,Adaptive behavior treatment with protocol modification first 30 min (pre-2019),30,per_30min,1,aba,MED,,,CPT,retired 2019,N
0369T,Adaptive behavior treatment with protocol modification each addl 30 min (pre-2019),30,per_30min,1,aba,MED,,,CPT,retired 2019,N
90832,Psychotherapy 30 min,30,per_session,1,psychotherapy,MED,,,CPT,,Y
90833,Psychotherapy 30 min add-on to E/M,30,per_session,1,psychotherapy,MED,,,CPT,,Y
90834,Psychotherapy 45 min,45,per_session,1,psychotherapy,MED,,,CPT,,Y
90836,Psychotherapy 45 min add-on to E/M,45,per_session,1,psychotherapy,MED,,,CPT,,Y
90837,Psychotherapy 60 min,60,per_session,1,psychotherapy,HIGH,,,CPT; OIG A-09-21-03021,,Y
90838,Psychotherapy 60 min add-on to E/M,60,per_session,1,psychotherapy,MED,,,CPT,,Y
90839,Psychotherapy for crisis first 60 min,60,per_session,1,psychotherapy,MED,,,CPT,,Y
90840,Psychotherapy for crisis each addl 30 min,30,per_30min,1,psychotherapy,MED,,,CPT,,Y
90845,Psychoanalysis,45,per_session,1,psychotherapy,MED,,,CPT,untimed; conservative 45,Y
90846,Family psychotherapy without patient 50 min,50,per_session,1,psychotherapy,MED,,,CPT,,Y
90847,Family psychotherapy with patient 50 min,50,per_session,1,psychotherapy,MED,,,CPT,,Y
90849,Multiple-family group psychotherapy,90,per_session,6,psychotherapy,MED,,,CPT,group; assume 90 min and 6 families,Y
90853,Group psychotherapy,90,per_session,6,psychotherapy,HIGH,,,CPT (assumed 60),group; assume 90 min and 6 patients,Y
90791,Psychiatric diagnostic evaluation,60,per_session,1,psychotherapy,MED,,,CPT,untimed; conservative 60,Y
90792,Psychiatric diagnostic evaluation with medical services,60,per_session,1,psychotherapy,MED,,,CPT,untimed; conservative 60,Y
90875,Psychophysiological therapy with biofeedback 30 min,30,per_session,1,psychotherapy,MED,,,CPT,,Y
90876,Psychophysiological therapy with biofeedback 45 min,45,per_session,1,psychotherapy,MED,,,CPT,,Y
96116,Neurobehavioral status exam first hour,60,per_hour,1,psych_testing,LOW,,,CPT,,Y
96121,Neurobehavioral status exam each addl hour,60,per_hour,1,psych_testing,LOW,,,CPT,,Y
96130,Psychological testing evaluation first hour,60,per_hour,1,psych_testing,MED,124.36,,CPT; MN grid,,Y
96131,Psychological testing evaluation each addl hour,60,per_hour,1,psych_testing,MED,85.05,,CPT; MN grid,,Y
96132,Neuropsychological testing evaluation first hour,60,per_hour,1,psych_testing,LOW,,,CPT,,Y
96133,Neuropsychological testing evaluation each addl hour,60,per_hour,1,psych_testing,LOW,,,CPT,,Y
96136,Psych/neuropsych test administration by professional first 30 min,30,per_30min,1,psych_testing,MED,,,CPT,,Y
96137,Psych/neuropsych test administration by professional each addl 30 min,30,per_30min,1,psych_testing,MED,,,CPT,,Y
96138,Psych/neuropsych test administration by technician first 30 min,30,per_30min,1,psych_testing,MED,,,CPT,,N
96139,Psych/neuropsych test administration by technician each addl 30 min,30,per_30min,1,psych_testing,MED,,,CPT,,N
96112,Developmental test administration first hour,60,per_hour,1,psych_testing,LOW,,,CPT,,Y
96113,Developmental test administration each addl 30 min,30,per_30min,1,psych_testing,LOW,,,CPT,,Y
96150,Health and behavior assessment each 15 min (pre-2020),15,per_15min,1,health_behavior,LOW,,,CPT,retired 2020,Y
96151,Health and behavior reassessment each 15 min (pre-2020),15,per_15min,1,health_behavior,LOW,,,CPT,retired 2020,Y
96152,Health and behavior intervention individual each 15 min (pre-2020),15,per_15min,1,health_behavior,LOW,,,CPT,retired 2020,Y
96153,Health and behavior intervention group each 15 min (pre-2020),15,per_15min,4,health_behavior,LOW,,,CPT,retired 2020; group,Y
96154,Health and behavior intervention family with patient each 15 min (pre-2020),15,per_15min,1,health_behavior,LOW,,,CPT,retired 2020,Y
96155,Health and behavior intervention family without patient each 15 min (pre-2020),15,per_15min,1,health_behavior,LOW,,,CPT,retired 2020,Y
96158,Health behavior intervention individual first 30 min,30,per_30min,1,health_behavior,LOW,,,CPT,,Y
96159,Health behavior intervention individual each addl 15 min,15,per_15min,1,health_behavior,LOW,,,CPT,,Y
96164,Health behavior intervention group first 30 min,30,per_30min,4,health_behavior,LOW,,,CPT,group,Y
96165,Health behavior intervention group each addl 15 min,15,per_15min,4,health_behavior,LOW,,,CPT,group,Y
96167,Health behavior intervention family with patient first 30 min,30,per_30min,1,health_behavior,LOW,,,CPT,,Y
96168,Health behavior intervention family with patient each addl 15 min,15,per_15min,1,health_behavior,LOW,,,CPT,,Y
96170,Health behavior intervention family without patient first 30 min,30,per_30min,1,health_behavior,LOW,,,CPT,,Y
96171,Health behavior intervention family without patient each addl 15 min,15,per_15min,1,health_behavior,LOW,,,CPT,,Y
H0004,Behavioral health counseling and therapy per 15 min,15,per_15min,1,behavioral_health,HIGH,,,HCPCS,,N
H0034,Medication training and support per 15 min,15,per_15min,1,behavioral_health,MED,,,HCPCS,,N
H0036,Community psychiatric supportive treatment face-to-face per 15 min,15,per_15min,1,behavioral_health,HIGH,,,HCPCS,,N
H0037,Community psychiatric supportive treatment program per diem,,per_diem,1,behavioral_health,MED,,,HCPCS,,N
H0038,Self-help/peer services per 15 min,15,per_15min,1,behavioral_health,MED,,,HCPCS,,N
H0039,Assertive community treatment face-to-face per 15 min,15,per_15min,1,behavioral_health,MED,,,HCPCS,,N
H0040,Assertive community treatment program per diem,,per_diem,1,behavioral_health,MED,,,HCPCS,,N
H0043,Supported housing per diem,,per_diem,1,housing,MED,,,HCPCS,,N
H0045,Respite care not in the home per diem,,per_diem,1,respite,LOW,,,HCPCS,,N
H0050,Alcohol/drug brief intervention per 15 min,15,per_15min,1,substance_use,LOW,,,HCPCS,,N
