hcpcs,modifiers,program,unit,unit_minutes,rate,version,source
S5135,,Adult Companion Services,15 Minutes,15,7.9,2026-04,DHS-3945_PCA_rates.pdf p2
S5135,U5,"Adult Companion Services, Remote",15 Minutes,15,7.9,2026-04,DHS-3945_PCA_rates.pdf p2
S5100,,Adult Day Services,15 Minutes,15,4.53,2026-04,DHS-3945_PCA_rates.pdf p2
S5100,TF,"Adult Day Services, Bath",15 Minutes,15,11.58,2026-04,DHS-3945_PCA_rates.pdf p2
S5100,U7,"Adult Day Services, FADS",15 Minutes,15,4.53,2026-04,DHS-3945_PCA_rates.pdf p2
S5100,U4,"Adult Day Services, Remote",15 Minutes,15,4.53,2026-04,DHS-3945_PCA_rates.pdf p2
S5115,TF,Caregiver Counseling,15 Minutes,15,20.82,2026-04,DHS-3945_PCA_rates.pdf p2
S5115,TF U4,"Caregiver Counseling, Remote",15 Minutes,15,20.82,2026-04,DHS-3945_PCA_rates.pdf p2
S5115,,Caregiver Training,15 Minutes,15,20.82,2026-04,DHS-3945_PCA_rates.pdf p2
S5115,U4,"Caregiver Training, Remote",15 Minutes,15,20.82,2026-04,DHS-3945_PCA_rates.pdf p2
T1016,UC,Case Management,15 Minutes,15,25.46,2026-04,DHS-3945_PCA_rates.pdf p2
T1016,TF UC,"Case Management Aide, Paraprofessional",15 Minutes,15,9.39,2026-04,DHS-3945_PCA_rates.pdf p2
T1016,,"Case Management, Conversion",15 Minutes,15,25.46,2026-04,DHS-3945_PCA_rates.pdf p2
T2040,,CDCS Background Check,Per Print,,44.0,2026-04,DHS-3945_PCA_rates.pdf p2
S5120,,Chore Services,15 Minutes,15,7.9,2026-04,DHS-3945_PCA_rates.pdf p3
T1003,,"Home Care Nursing, LPN",15 Minutes,15,10.18,2026-04,DHS-3945_PCA_rates.pdf p3
T1003,TG,"Home Care Nursing, LPN Complex",15 Minutes,15,11.93,2026-04,DHS-3945_PCA_rates.pdf p3
T1003,TT,"Home Care Nursing, LPN Shared, 1:2",15 Minutes,15,7.65,2026-04,DHS-3945_PCA_rates.pdf p3
T1002,,"Home Care Nursing, RN",15 Minutes,15,13.26,2026-04,DHS-3945_PCA_rates.pdf p3
T1002,TG,"Home Care Nursing, RN Complex",15 Minutes,15,15.89,2026-04,DHS-3945_PCA_rates.pdf p3
T1002,TT,"Home Care Nursing, RN Shared, 1:2",15 Minutes,15,9.94,2026-04,DHS-3945_PCA_rates.pdf p3
S5170,,Home Delivered Meals,One Meal Per,,9.9,2026-04,DHS-3945_PCA_rates.pdf p4
T1004,,Home Health Aide,15 Minutes,15,11.22,2026-04,DHS-3945_PCA_rates.pdf p4
T1021,,Home Health Aide,Visit,,80.62,2026-04,DHS-3945_PCA_rates.pdf p4
G0300,,"Home Health Service, Skilled Nursing, LPN",15 Minutes,15,12.81,2026-04,DHS-3945_PCA_rates.pdf p4
G0299,,"Home Health Service, Skilled Nursing, RN",15 Minutes,15,12.81,2026-04,DHS-3945_PCA_rates.pdf p4
S5130,TG,"Homemaker, Assistance with Personal Cares",15 Minutes,15,7.9,2026-04,DHS-3945_PCA_rates.pdf p4
S5130,,"Homemaker, Cleaning",15 Minutes,15,7.9,2026-04,DHS-3945_PCA_rates.pdf p4
S5130,TF,"Homemaker, Home Management",15 Minutes,15,7.9,2026-04,DHS-3945_PCA_rates.pdf p4
S5130,TF U4,"Homemaker, Home Management, Remote",15 Minutes,15,7.9,2026-04,DHS-3945_PCA_rates.pdf p4
H2015,U3 U4,"Individual Community Living Support (ICLS), Remote",15 Minutes,15,9.16,2026-04,DHS-3945_PCA_rates.pdf p4
S9470,,Nutrition Services,Visit,,80.63,2026-04,DHS-3945_PCA_rates.pdf p4
S5160,,PERS Installation and Testing,Each Time,,500.0,2026-04,DHS-3945_PCA_rates.pdf p4
S5161,,PERS Monthly Service Fee,Per Month,,110.0,2026-04,DHS-3945_PCA_rates.pdf p4
S5162,,PERS Purchase,Each Time,,1500.0,2026-04,DHS-3945_PCA_rates.pdf p4
S5150,,"Respite Care Services, In Home",15 Minutes,15,9.64,2026-04,DHS-3945_PCA_rates.pdf p5
S5151,,"Respite Care Services, In Home",Daily,,173.52,2026-04,DHS-3945_PCA_rates.pdf p5
S5150,U4,"Respite Care Services, In Home, Remote",15 Minutes,15,9.64,2026-04,DHS-3945_PCA_rates.pdf p5
S5150,UB,"Respite Care Services, Out of Home",15 Minutes,15,9.64,2026-04,DHS-3945_PCA_rates.pdf p5
H0045,,"Respite Care Services, Out of Home",Daily,,173.52,2026-04,DHS-3945_PCA_rates.pdf p5
H0045,,"Respite Hospital, 24 hours",Daily,,147.85,2026-04,DHS-3945_PCA_rates.pdf p5
T1031,,"Skilled Nurse Visit, LPN",Visit,,105.07,2026-04,DHS-3945_PCA_rates.pdf p5
T1031,GT,"Skilled Nurse Visit, LPN, Telehomecare",Visit,,105.07,2026-04,DHS-3945_PCA_rates.pdf p5
T1030,,"Skilled Nurse Visit, RN",Visit,,105.07,2026-04,DHS-3945_PCA_rates.pdf p5
T1030,GT,"Skilled Nurse Visit, RN, Telehomecare",Visit,,105.07,2026-04,DHS-3945_PCA_rates.pdf p5
E1399,,Specialized Supplies and Equipment,Per Item,,0.0,2026-04,DHS-3945_PCA_rates.pdf p5
T2003,,Transportation,One Way Trip,,20.21,2026-04,DHS-3945_PCA_rates.pdf p5
S0215,UC,"Transportation, Mileage, Commercial Vehicle",Per Mile,,1.54,2026-04,DHS-3945_PCA_rates.pdf p6
S0215,UC,"Transportation, Mileage, Non-commercial Vehicle",Per Mile,,0.7,2026-04,DHS-3945_PCA_rates.pdf p6
T1016,UC,Case Management,15 Minutes,15,24.47,2026-04,DHS-3945_PCA_rates.pdf p7
S5120,,Chore Services,15 Minutes,15,4.32,2026-04,DHS-3945_PCA_rates.pdf p7
H2015,U6,"Comprehensive Community Support Services, MHM Only",15 Minutes,15,17.17,2026-04,DHS-3945_PCA_rates.pdf p8
T1003,TG UC,"Home Care Nursing, LPN Complex, Extended",15 Minutes,15,11.93,2026-04,DHS-3945_PCA_rates.pdf p10
T1003,UC,"Home Care Nursing, LPN Regular, Extended",15 Minutes,15,10.18,2026-04,DHS-3945_PCA_rates.pdf p10
T1003,TT UC,"Home Care Nursing, LPN Shared, 1:2, Extended",15 Minutes,15,7.65,2026-04,DHS-3945_PCA_rates.pdf p10
T1002,TG UC,"Home Care Nursing, RN Complex, Extended",15 Minutes,15,15.89,2026-04,DHS-3945_PCA_rates.pdf p10
T1002,UC,"Home Care Nursing, RN Regular, Extended",15 Minutes,15,13.26,2026-04,DHS-3945_PCA_rates.pdf p10
T1002,TT UC,"Home Care Nursing, RN Shared, 1:2, Extended",15 Minutes,15,9.94,2026-04,DHS-3945_PCA_rates.pdf p10
S5170,,Home Delivered Meals,One Meal Per,,7.51,2026-04,DHS-3945_PCA_rates.pdf p11
T1004,,"Home Health Aide, Extended",15 Minutes,15,7.7,2026-04,DHS-3945_PCA_rates.pdf p11
S9970,U6 U5,"Membership Fees (Exercise Classes, Health Club/Fitness",Per Month,,66.66,2026-04,DHS-3945_PCA_rates.pdf p12
S9129,TF UC,"Occupational Therapy Assistant, Extended",Visit,,71.91,2026-04,DHS-3945_PCA_rates.pdf p12
S9129,UC,"Occupational Therapy, Extended",Visit,,110.62,2026-04,DHS-3945_PCA_rates.pdf p12
S5135,U6 UA,"Overnight Assistance, MHM Only",15 Minutes,15,2.17,2026-04,DHS-3945_PCA_rates.pdf p12
T1019,UC,"Personal Care Assistance (PCA), 1:1, Extended",15 Minutes,15,6.22,2026-04,DHS-3945_PCA_rates.pdf p13
T1019,TT UC,"Personal Care Assistance (PCA), 1:2, Extended",15 Minutes,15,4.68,2026-04,DHS-3945_PCA_rates.pdf p13
T1019,HQ UC,"Personal Care Assistance (PCA), 1:3, Extended",15 Minutes,15,4.1,2026-04,DHS-3945_PCA_rates.pdf p13
T1019,TG UC,"Personal Care Assistance (PCA), Complex, 1:1, Extended",15 Minutes,15,6.99,2026-04,DHS-3945_PCA_rates.pdf p13
T1019,TG TT UC,"Personal Care Assistance (PCA), Complex, 1:2, Extended",15 Minutes,15,5.25,2026-04,DHS-3945_PCA_rates.pdf p13
T1019,HQ TG UC,"Personal Care Assistance (PCA), Complex, 1:3, Extended",15 Minutes,15,4.6,2026-04,DHS-3945_PCA_rates.pdf p13
T1019,UA,"Personal Care Assistance (PCA), Supervision",15 Minutes,15,13.86,2026-04,DHS-3945_PCA_rates.pdf p13
S9131,TF UC,"Physical Therapy Assistant, Extended",Visit,,70.49,2026-04,DHS-3945_PCA_rates.pdf p13
S9131,UC,"Physical Therapy, Extended",Visit,,108.42,2026-04,DHS-3945_PCA_rates.pdf p13
S5181,UC,"Respiratory Therapy, Extended",Visit,,69.66,2026-04,DHS-3945_PCA_rates.pdf p14
S9128,UC,"Speech Therapy, Extended",Visit,,110.07,2026-04,DHS-3945_PCA_rates.pdf p15
T1016,UC,Case Management,15 Minutes,15,23.19,2026-04,DHS-3945_PCA_rates.pdf p37
T1004,,"Home Health Aide, Extended",15 Minutes,15,11.22,2026-04,DHS-3945_PCA_rates.pdf p48
T2029,,Specialized Supplies and Equipment,Per Item,,0.0,2026-04,DHS-3945_PCA_rates.pdf p50
T2003,UC,Transportation,One Way Trip,,20.21,2026-04,DHS-3945_PCA_rates.pdf p50
H2015,,"Community Living Assistance, In Person/Remote",15 Minutes,15,4.55,2026-04,DHS-3945_PCA_rates.pdf p52
H2016,,"Community Living Assistance, Remote",Daily,,6.06,2026-04,DHS-3945_PCA_rates.pdf p52
S9129,,Occupational Therapy,Visit,,110.62,2026-04,DHS-3945_PCA_rates.pdf p54
S9129,TF,Occupational Therapy Assistant,Visit,,71.91,2026-04,DHS-3945_PCA_rates.pdf p54
T1019,,"Personal Care Assistance (PCA), 1:1",15 Minutes,15,6.22,2026-04,DHS-3945_PCA_rates.pdf p54
T1019,U5,"Personal Care Assistance (PCA), 1:1, Notice of Reduction",15 Minutes,15,6.22,2026-04,DHS-3945_PCA_rates.pdf p54
T1019,U6,"Personal Care Assistance (PCA), 1:1, Temporary 45 Day",15 Minutes,15,6.22,2026-04,DHS-3945_PCA_rates.pdf p54
T1019,TT,"Personal Care Assistance (PCA), 1:2",15 Minutes,15,4.68,2026-04,DHS-3945_PCA_rates.pdf p54
T1019,TT U5,"Personal Care Assistance (PCA), 1:2, Notice of Reduction",15 Minutes,15,4.68,2026-04,DHS-3945_PCA_rates.pdf p54
T1019,TT U6,"Personal Care Assistance (PCA), 1:2, Temporary 45 Day",15 Minutes,15,4.68,2026-04,DHS-3945_PCA_rates.pdf p54
T1019,HQ,"Personal Care Assistance (PCA), 1:3",15 Minutes,15,4.1,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,HQ U5,"Personal Care Assistance (PCA), 1:3, Notice of Reduction",15 Minutes,15,4.1,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,HQ U6,"Personal Care Assistance (PCA), 1:3, Temporary 45 Day",15 Minutes,15,4.1,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,TG,"Personal Care Assistance (PCA), Complex, 1:1",15 Minutes,15,6.99,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,TG U5,"Personal Care Assistance (PCA), Complex, 1:1, Notice of",15 Minutes,15,6.99,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,TG U6,"Personal Care Assistance (PCA), Complex, 1:1, Temporary",15 Minutes,15,6.99,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,TG TT,"Personal Care Assistance (PCA), Complex, 1:2",15 Minutes,15,5.25,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,TG TT U5,"Personal Care Assistance (PCA), Complex, 1:2, Notice of",15 Minutes,15,5.25,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,TG TT U6,"Personal Care Assistance (PCA), Complex, 1:2, Temporary",15 Minutes,15,5.25,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,HQ TG,"Personal Care Assistance (PCA), Complex, 1:3",15 Minutes,15,4.6,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,HQ TG U5,"Personal Care Assistance (PCA), Complex, 1:3, Notice of",15 Minutes,15,4.6,2026-04,DHS-3945_PCA_rates.pdf p55
T1019,HQ TG U6,"Personal Care Assistance (PCA), Complex, 1:3, Temporary",15 Minutes,15,4.6,2026-04,DHS-3945_PCA_rates.pdf p55
T1001,,PHN Face to Face Assessment for PCA,Visit,,276.65,2026-04,DHS-3945_PCA_rates.pdf p55
